"id","label","category"
"P236","ISSN","identifier"
"P245","ULAN ID","identifier"
"P435","MusicBrainz work ID","identifier"
"P436","MusicBrainz release group ID","identifier"
"P212","ISBN-13","identifier"
"P238","IATA airport code","identifier"
"P239","ICAO airport code","identifier"
"P1208","ISMN","identifier"
"P1407","MusicBrainz series ID","identifier"
"P1729","AllMusic album ID","identifier"
"P345","IMDb ID","identifier"
"P1258","Rotten Tomatoes ID","identifier"
"P2281","iTunes album ID","identifier"
"P2336","SFDb soundtrack ID","identifier"
"P2513","Jamendo album ID","identifier"
"P2624","MetroLyrics ID","identifier"
"P356","DOI","identifier"
"P648","Open Library ID","identifier"
"P454","Structurae structure ID","identifier"
"P455","Emporis building ID","identifier"
"P1217","Internet Broadway Database venue ID","identifier"
"P464","NOR","identifier"
"P698","PubMed ID","identifier"
"P1874","Netflix ID","identifier"
"P1934","Animator.ru film ID","identifier"
"P827","BBC programme ID","identifier"
"P888","JSTOR article ID","identifier"
"P889","Mathematical Reviews ID","identifier"
"P892","RfC ID","identifier"
"P1190","Universal Decimal Classification","identifier"
"P1209","CN","identifier"
"P1218","Internet Broadway Database production ID","identifier"
"P1730","AllMusic song ID","identifier"
"P1827","ISWC","identifier"
"P1829","Roud Folk Song Index number","identifier"
"P1902","Spotify artist ID","identifier"
"P1044","SWB editions","identifier"
"P1054","NDL bib ID","identifier"
"P1084","EUL editions","identifier"
"P1085","LibraryThing work ID","identifier"
"P3996","Bait La Zemer Ha-Ivri song ID","identifier"
"P4011","Semantic Scholar paper ID","identifier"
"P4027","National Discography of Italian Song work ID","identifier"
"P4028","Google Scholar paper ID","identifier"
"P4087","MyAnimeList manga ID","identifier"
"P4107","Framalibre ID","identifier"
"P4157","MEG ID","identifier"
"P4162","AUR package","identifier"
"P4165","CODECS ID","identifier"
"P4178","Beazley Archive Pottery Database ID","identifier"
"P240","FAA airport code","identifier"
"P668","GeneReviews ID","identifier"
"P675","Google Books ID","identifier"
"P1144","Library of Congress Control Number (LCCN) (bibliographic)","identifier"
"P1154","Scopus EID","identifier"
"P1162","Bluebook abbreviation","identifier"
"P1184","handle","identifier"
"P2489","page at hram.by","identifier"
"P2762","CTBUH Skyscraper Center building complex ID","identifier"
"P2765","blue-style.com ID","identifier"
"P2783","Danish listed buildings case ID","identifier"
"P2863","Nederlandse Molendatabase ID","identifier"
"P2866","Hollandsche Molen ID","identifier"
"P2867","Molenecho's ID","identifier"
"P2917","COAM structure ID","identifier"
"P2971","GCatholic church ID","identifier"
"P2980","ARLHS Lighthouse ID","identifier"
"P243","OCLC control number","identifier"
"P347","Joconde ID","identifier"
"P350","RKDimages ID","identifier"
"P1970","MovieMeter Movie ID","identifier"
"P1985","Anime News Network anime ID","identifier"
"P2334","Swedish Film Database film ID","identifier"
"P2346","Elonet movie ID","identifier"
"P1143","BN (Argentine) editions","identifier"
"P1182","LIBRIS editions","identifier"
"P1212","Atlas ID","identifier"
"P1305","CTBUH Skyscraper Center ID","identifier"
"P1311","lostbridges.org ID","identifier"
"P1380","BridgeReports.com ID","identifier"
"P1381","bridgehunter.com ID","identifier"
"P1400","FCC Facility ID","identifier"
"P480","FilmAffinity ID","identifier"
"P905","PORT film ID","identifier"
"P1237","Box Office Mojo film ID","identifier"
"P1265","AlloCiné film ID","identifier"
"P1439","Norsk filmografi ID","identifier"
"P1562","AllMovie movie ID","identifier"
"P3838","Tab4u song ID","identifier"
"P3861","iTunes app ID","identifier"
"P3889","Swiss Federal Archives ID","identifier"
"P3894","OSTI article ID","identifier"
"P3939","ESTC citation number","identifier"
"P3951","BioRxiv ID","identifier"
"P3959","NNL work ID","identifier"
"P3976","BVMC work ID","identifier"
"P1274","ISFDB title ID","identifier"
"P1292","DNB editions","identifier"
"P1428","Lost Art-ID","identifier"
"P1474","Nupill Literatura Digital - Document","identifier"
"P1575","RISS catalog","identifier"
"P1608","Dialnet book ID","identifier"
"P724","Internet Archive ID","identifier"
"P745","Low German Bibliography and Biography ID","identifier"
"P819","ADS bibcode","identifier"
"P1679","Art UK artwork ID","identifier"
"P1726","Florentine musea Inventario 1890  ID","identifier"
"P1739","CiNii book ID","identifier"
"P1815","RSL scanned book's identifier","identifier"
"P1823","BAnQ work ID","identifier"
"P1844","HathiTrust ID","identifier"
"P893","Social Science Research Network ID","identifier"
"P932","PMCID","identifier"
"P949","National Library of Israel ID","identifier"
"P2511","MSK Gent work PID","identifier"
"P2539","Nationalmuseum Sweden artwork ID","identifier"
"P2582","J. Paul Getty Museum object ID","identifier"
"P2879","Library of the National Congress of Argentina ID","identifier"
"P2969","Goodreads book ID","identifier"
"P3004","Galiciana work ID","identifier"
"P3155","Runeberg book ID","identifier"
"P1219","Internet Broadway Database show ID","identifier"
"P1234","ISFDB publication ID","identifier"
"P1235","ISFDB series ID","identifier"
"P1242","Theatricalia play ID","identifier"
"P3601","MarineTraffic Lighthouse ID","identifier"
"P3676","National Bridge Inventory Number","identifier"
"P3714","Recreation.gov facility ID","identifier"
"P3723","USCG Lighthouse ID","identifier"
"P3758","DOCOMOMO Ibérico ID","identifier"
"P3796","Bureau of Meteorology station ID","identifier"
"P3824","VTJ-PRT building ID","identifier"
"P3863","Italian Navy Lighthouses and Beacons ID","identifier"
"P3877","HappyCow restaurant ID","identifier"
"P3920","Canadian Coastguard Lighthouse ID","identifier"
"P3993","Vitaskrá ID","identifier"
"P4009","RKY national built heritage environment ID","identifier"
"P4035","Shironet song ID","identifier"
"P4038","Danish List of Lights and Fog signals ID","identifier"
"P1954","Discogs master ID","identifier"
"P1994","AllMusic composition ID","identifier"
"P2205","Spotify album ID","identifier"
"P2206","Discogs release ID","identifier"
"P2207","Spotify track ID","identifier"
"P1893","OpenPlaques plaque ID","identifier"
"P1933","MobyGames ID","identifier"
"P1948","BerlPap identifier","identifier"
"P2721","Encyclopaedia Metallum release ID","identifier"
"P2723","Deezer album ID","identifier"
"P2724","Deezer track ID","identifier"
"P2819","Yandex.Music album ID","identifier"
"P2908","SecondHandSongs song ID","identifier"
"P3192","Last.fm ID","identifier"
"P3352","musipedia tune ID","identifier"
"P3059","Architectuurgids building ID","identifier"
"P3197","Federal Heritage Buildings ID (Canada)","identifier"
"P3211","Heritage Lighthouse of Canada ID","identifier"
"P3223","Online List of Lights ID","identifier"
"P3304","NGS pumping station ID","identifier"
"P3371","Observatoire du Patrimoine Religieux ID","identifier"
"P3555","World Guide to Covered Bridges ID","identifier"
"P3562","Admiralty number","identifier"
"P3563","NGA Lighthouse ID","identifier"
"P3572","ESPNcricinfo playing ground ID","identifier"
"P3586","CricketArchive playing ground ID","identifier"
"P2509","Movie Walker ID","identifier"
"P2518","Scope.dk film ID","identifier"
"P2529","ČSFD film ID","identifier"
"P2603","Kinopoisk film ID","identifier"
"P1972","Open Hub ID","identifier"
"P1973","RSL editions","identifier"
"P1984","Anime News Network manga ID","identifier"
"P2000","CPDL ID","identifier"
"P5792","NooSFere series ID","identifier"
"P5808","Alternativa Teatral work ID","identifier"
"P5833","Playbill production ID","identifier"
"P5849","AnimeClick manga ID","identifier"
"P5865","IGN film ID","identifier"
"P5878","Taxonomic Literature 2 number","identifier"
"P5932","IGN series ID","identifier"
"P5934","Short Title Catalogue Flanders (STCV)","identifier"
"P5935","Flanders Arts Institute production ID","identifier"
"P5968","CPPAP ID","identifier"
"P5999","Japan PlayStation Store ID","identifier"
"P6175","Bitraga work ID","identifier"
"P6201","OBV editions ID","identifier"
"P6221","NooSFere story ID","identifier"
"P6270","Boobpedia article","identifier"
"P957","ISBN-10","identifier"
"P1025","SUDOC editions","identifier"
"P3212","ISAN identifier","identifier"
"P3302","Open Media Database film ID","identifier"
"P3340","Kvikmyndir film ID","identifier"
"P3367","GECD film ID","identifier"
"P4230","Sefaria ID","identifier"
"P4231","United Nations Treaty Series Registration Number","identifier"
"P4256","Spanish ""Boletín Oficial del Estado"" ID","identifier"
"P4258","Gallica ID","identifier"
"P4280","International Standard Text Code","identifier"
"P4300","YouTube playlist ID","identifier"
"P4337","digitised page from Lloyd's Register of Ships from 1930 to 1945","identifier"
"P4360","Monumentos de São Paulo ID","identifier"
"P4430","New York City Parks monument ID","identifier"
"P4435","snap package","identifier"
"P4141","Gatehouse Gazetteer place ID","identifier"
"P4142","RIWAQ Registry of Historic Buildings in Palestine ID","identifier"
"P4143","Finnish List of Lights ID","identifier"
"P4199","Google Play Music album ID","identifier"
"P4219","Tyrolean Art Cadastre inventory ID","identifier"
"P4244","Bavarian monument authority ID","identifier"
"P4328","Brueckenweb ID","identifier"
"P4340","PubsHistory pub ID","identifier"
"P4346","T4T35 megalith ID","identifier"
"P4404","MusicBrainz recording ID","identifier"
"P4518","Melon album ID","identifier"
"P4577","Tidal album ID","identifier"
"P4578","Tidal track ID","identifier"
"P4455","Coinage of the Roman Republic Online ID","identifier"
"P4467","Twitch game ID","identifier"
"P4483","INDUCKS story ID","identifier"
"P4485","INDUCKS miniseries ID","identifier"
"P4579","Tidal video ID","identifier"
"P4705","World of Spectrum ID","identifier"
"P4710","Guardiana ID","identifier"
"P4763","crates.io ID","identifier"
"P4769","GameRankings game ID","identifier"
"P4793","identifiers.org prefix","identifier"
"P3483","VGMdb album ID","identifier"
"P3736","Eurovision Song Contest song ID","identifier"
"P3783","Christie's object ID","identifier"
"P3784","CiteSeerX article ID","identifier"
"P3788","BNA authority ID","identifier"
"P3802","Launchpad.net project ID","identifier"
"P3805","Tax-exempt heritage asset ID","identifier"
"P3825","United States Statutes at Large citation","identifier"
"P3837","United States Public Law","identifier"
"P2400","JMDb film ID","identifier"
"P2465","Allcinema film ID","identifier"
"P2508","KINENOTE film ID","identifier"
"P4146","Atheneum museum ID","identifier"
"P4257","National Museums of Japan e-museum ID","identifier"
"P4270","Daum TV series ID","identifier"
"P4352","BillionGraves cemetery ID","identifier"
"P4373","National Trust Collections ID","identifier"
"P4380","Sandrart.net artwork ID","identifier"
"P4401","ID Museus Brazil","identifier"
"P4438","BFI Films, TV and people ID","identifier"
"P4520","SUNCAT ID","identifier"
"P4525","MuIS object ID","identifier"
"P4564","Art Museum of Estonia artwork ID","identifier"
"P4582","Kulturelles Erbe Köln object ID","identifier"
"P2704","EIDR identifier","identifier"
"P2725","GOG application ID","identifier"
"P2755","exploitation visa number","identifier"
"P2826","Megogo ID","identifier"
"P2883","HKMDb film ID","identifier"
"P2897","Eldoblaje Movie ID","identifier"
"P1544","Federal Register Document Number","identifier"
"P1573","BBC Genome ID","identifier"
"P1577","Gregory-Aland-Number","identifier"
"P1610","Dialnet article","identifier"
"P1669","CONA ID","identifier"
"P1712","Metacritic ID","identifier"
"P1246","patent number","identifier"
"P1316","SMDB ID","identifier"
"P1392","ComicBookDB ID","identifier"
"P1459","Cadw Building ID","identifier"
"P1460","NIEA building ID","identifier"
"P1624","MarineTraffic Port ID","identifier"
"P1699","SkyscraperPage building id","identifier"
"P1837","Gaoloumi ID","identifier"
"P2270","Emporis building complex ID","identifier"
"P2468","Theatricalia theatre ID","identifier"
"P2558","autores.uy ID","identifier"
"P2606","PlayStation ID","identifier"
"P2613","TED talk ID","identifier"
"P2623","MEK ID","identifier"
"P2638","TV.com ID","identifier"
"P3184","Czech National Bibliography book ID","identifier"
"P3272","Zeri image ID","identifier"
"P3293","BALaT image ID","identifier"
"P3386","French Sculpture Census work ID","identifier"
"P3467","Inventario Sculture - Polo Museale Fiorentino","identifier"
"P3504","Florentine Inventario Palatina art ID","identifier"
"P3631","Babelio work ID","identifier"
"P3634","The Met object ID","identifier"
"P3711","Vanderkrogt.net Statues ID","identifier"
"P3768","Medieval Libraries of Great Britain ID","identifier"
"P3855","LombardiaBeniCulturali artwork ID","identifier"
"P2014","Museum of Modern Art work ID","identifier"
