id,usage-by-publication
P10,22
P17,23533
P18,12695
P19,35
P20,4
P21,85
P22,2
P25,1
P26,2
P27,50
P30,7
P31,21783796
P37,35
P38,1
P39,17
P40,2
P41,4
P50,2846122
P51,58
P53,2
P54,1
P57,31753
P58,16184
P61,8
P69,20
P84,4
P86,15216
P87,18
P88,319
P92,4
P94,5
P97,1
P98,6546
P101,573
P102,4
P103,2
P105,2
P106,98
P108,11
P110,3476
P112,2103
P121,1
P123,136110
P126,108
P127,5245
P131,5795
P135,243
P136,226605
P137,1099
P138,1587
P140,27
P144,3095
P149,3
P154,4339
P155,274551
P156,272905
P158,5
P159,3321
P161,20729
P162,35468
P163,1
P166,3335
P167,6
P169,83
P170,10722
P171,2
P172,4
P175,253612
P176,46
P178,224
P179,72065
P180,743
P181,1
P186,639
P189,9
P195,1341
P199,1
P208,1
P212,29434
P213,278
P214,2509
P217,933
P225,2
P227,1555
P231,8
P234,8
P235,3
P236,63283
P242,7
P243,73275
P244,987
P245,2
P248,795
P264,150459
P268,3831
P269,428
P271,41
P272,9110
P274,4
P275,12747
P276,1134
P277,101
P279,442
P281,44
P282,91
P287,17
P291,67225
P304,19423880
P306,76
P344,4569
P345,91677
P348,85
P349,141
P350,1
P355,38
P356,15830085
P358,12
P359,1
P360,250
P361,134393
P364,81618
P366,148
P371,6746
P373,9154
P393,7093
P400,181
P403,1
P404,28
P406,46
P407,1694080
P408,157
P409,95
P413,1
P414,42
P415,6
P421,56
P424,835
P425,4
P433,17421673
P434,272
P435,10716
P436,92821
P437,5600
P443,46
P444,44
P447,4
P449,51332
P452,312
P453,1
P457,4
P460,133
P462,4823
P463,89
P466,1
P467,5
P478,19369309
P479,6
P480,2479
P481,183
P483,1157
P485,146
P486,92
P487,1
P488,40
P494,4
P495,462008
P497,2
P503,206
P508,13
P509,1
P512,1
P518,1
P520,2
P527,6153
P528,14371
P533,3
P535,1
P541,1
P547,5
P551,1
P553,39
P554,1
P559,1
P560,7
P569,46
P570,13
P571,46370
P574,13
P575,4
P576,7462
P577,20622031
P580,30948
P582,19571
P585,6350
P600,1
P607,20
P608,34
P609,1
P611,11
P625,611
P629,13019
P641,997
P642,5
P646,49895
P648,38122
P649,3
P650,3
P653,1
P655,4091
P658,1654
P664,70
P669,15
P670,2
P672,3
P674,2315
P675,1391
P676,6548
P683,11
P685,1
P687,61005
P691,81
P698,17730522
P699,3
P703,1
P706,1
P710,262
P723,4
P724,59184
P725,1288
P726,1
P727,60
P729,4
P734,6
P735,31
P736,2864
P737,32
P740,95
P742,2
P746,7
P747,781
P749,192
P750,10670
P751,18
P756,31
P760,2
P765,1
P767,714
P790,9
P791,8
P792,30
P793,94
P797,8
P800,14
P802,1
P805,30
