"id","count"
P1340,1
P5712,1
P5719,1
P4848,1
P1335,1
P1333,1
P1334,1
P1332,1
P3991,1
P5737,1
P3979,1
P3977,1
P4823,1
P3975,1
P3973,1
P1389,1
P1382,1
P1376,1
P1353,1
P5707,1
P3125,1
P2272,1
P4440,1
P4437,1
P5338,1
P4424,1
P3151,1
P4477,1
P4466,1
P706,1
P703,1
P6250,1
P4041,1
P726,1
P6270,1
P4020,1
P742,1
P1821,1
P6202,1
P25,1
P6211,1
P5367,1
P38,1
P765,1
P1801,1
P5370,1
P6222,1
P5375,1
P4072,1
P5384,1
P54,1
P301,1
P2715,1
P1846,1
P1843,1
P1840,1
P1838,1
P97,1
P350,1
P2738,1
P359,1
P2722,1
P3889,1
P3404,1
P3886,1
P4732,1
P3885,1
P2551,1
P5604,1
P2535,1
P4710,1
P5613,1
P4776,1
P1266,1
P4773,1
P4765,1
P2588,1
P4760,1
P2580,1
P1249,1
P3428,1
P1248,1
P2568,1
P2563,1
P3894,1
P2159,1
P4330,1
P3471,1
P5691,1
P5214,1
P3463,1
P1286,1
P3454,1
P3451,1
P2196,1
P2197,1
P3043,1
P807,1
P3029,1
P5652,1
P3025,1
P802,1
P3017,1
P3499,1
P2168,1
P3073,1
P849,1
P846,1
P4399,1
P830,1
P6153,1
P6155,1
P1709,1
P850,1
P5243,1
P403,1
P5255,1
P6102,1
P5256,1
P5266,1
P3098,1
P3095,1
P413,1
P466,1
P4816,1
P2637,1
P3967,1
P2636,1
P2634,1
P451,1
P2626,1
P4802,1
P4801,1
P1775,1
P6178,1
P2619,1
P487,1
P2613,1
P2610,1
P494,1
P2607,1
P2605,1
P3932,1
P2435,1
P1588,1
P4614,1
P1584,1
P1580,1
P4608,1
P2416,1
P2886,1
P5509,1
P4656,1
P5922,1
P5924,1
P4637,1
P3782,1
P5930,1
P4629,1
P2446,1
P2440,1
P1110,1
P1591,1
P1590,1
P5555,1
P4208,1
P4200,1
P3352,1
P6418,1
P2019,1
P2017,1
P1167,1
P5576,1
P4671,1
P2486,1
P2000,1
P4256,1
P5513,1
P4247,1
P4239,1
P2058,1
P5534,1
P4226,1
P4224,1
P1195,1
P4221,1
P2042,1
P1196,1
P2041,1
P5150,1
P943,1
P5160,1
P937,1
P6011,1
P6015,1
P4271,1
P5184,1
P2089,1
P509,1
P971,1
P5123,1
P5125,1
P5128,1
P512,1
P518,1
P5146,1
P541,1
P3803,1
P1621,1
P1618,1
P1615,1
P554,1
P551,1
P559,1
P2519,1
P3847,1
P2998,1
P5198,1
P2511,1
P3839,1
P1656,1
P121,1
P1648,1
P3821,1
P2317,1
P2315,1
P4973,1
P1461,1
P5835,1
P5838,1
P3638,1
P1444,1
P1442,1
P5858,1
P4948,1
P4945,1
P3612,1
P163,1
P3207,1
P1028,1
P3202,1
P2349,1
P2344,1
P5800,1
P181,1
P2339,1
P1480,1
P199,1
P2326,1
P5434,1
P3243,1
P3242,1
P2390,1
P2388,1
P1050,1
P2381,1
P3224,1
P3220,1
P6306,1
P3217,1
P1038,1
P2369,1
P2361,1
P3285,1
P3283,1
P3281,1
P3274,1
P5897,1
P5419,1
P3259,1
P1077,1
P1074,1
P6367,1
P6375,1
P6378,1
P4162,1
P609,1
P5055,1
P6395,1
P5064,1
P3293,1
P1947,1
P6327,1
P6334,1
P1921,1
P4198,1
P4186,1
P4182,1
P653,1
P1978,1
P1971,1
P1968,1
P685,1
P1963,1
P208,1
P1548,1
P1549,1
P5083,1
P2868,1
P1536,1
P5098,1
P2851,1
P2843,1
P2667,2
P1317,2
P4824,2
P2647,2
P1792,2
P2210,2
P2683,2
P4860,2
P5797,2
P3108,2
P2252,2
P6241,2
P5398,2
P3183,2
P26,2
P4090,2
P1810,2
P5361,2
P6228,2
P53,2
P1427,2
P6283,2
P4738,2
P1220,2
P1213,2
P2534,2
P4702,2
P2521,2
P2522,2
P3851,2
P1268,2
P2579,2
P4754,2
P1239,2
P3473,2
P3085,2
P6133,2
P3057,2
P865,2
P1706,2
P5233,2
P6164,2
P2633,2
P6166,2
P1300,2
P4805,2
P453,2
P3952,2
P2612,2
P2604,2
P1755,2
P3768,2
P497,2
P4606,2
P4603,2
P2899,2
P3743,2
P2893,2
P3740,2
P1561,2
P1556,2
P2400,2
P5986,2
P5987,2
P3797,2
P1189,2
P3348,2
P2011,2
P5990,2
P3383,2
P4228,2
P2046,2
P3376,2
P3373,2
P6009,2
P4295,2
P6016,2
P4286,2
P958,2
P520,2
P105,2
P2513,2
P5199,2
P3834,2
P3818,2
P3816,2
P2963,2
P1630,2
P1462,2
P4970,2
P5833,2
P171,2
P1012,2
P1013,2
P4511,2
P5818,2
P1478,2
P1479,2
P1477,2
P1472,2
P4579,2
P5436,2
P4566,2
P3231,2
P4129,2
P5882,2
P5896,2
P6368,2
P4167,2
P600,2
P6385,2
P6337,2
P1923,2
P5494,2
P5017,2
P1986,2
P2812,2
P225,2
P1537,2
P3712,2
P3996,3
P5748,3
P2226,3
P4862,3
P3123,3
P4435,3
P1398,3
P4485,3
P4051,3
P6256,3
P22,3
P6221,3
P4079,3
P5383,3
P3608,3
P2758,3
P1891,3
P2559,3
P1216,3
P3876,3
P2530,3
P3447,3
P3442,3
P2582,3
P2567,3
P3482,3
P4329,3
P1299,3
P3462,3
P2124,3
P5655,3
P808,3
P822,3
P6125,3
P6104,3
P5262,3
P411,3
P3916,3
P3914,3
P1733,3
P1789,3
P1303,3
P2622,3
P1557,3
P1558,3
P3733,3
P4655,3
P2468,3
P4644,3
P3793,3
P3784,3
P5932,3
P4699,3
P6409,3
P4685,3
P4223,3
P2044,3
P6081,3
P6085,3
P533,3
P103,3
P6067,3
P2966,3
P2318,3
P1455,3
P1445,3
P5867,3
P4535,3
P1017,3
P1005,3
P6307,3
P3215,3
P4101,3
P1073,3
P6360,3
P4173,3
P6381,3
P1938,3
P650,3
P2813,3
P672,3
P2879,3
P1546,3
P699,3
P245,3
P3704,3
P235,3
P274,4
P3997,4
P1326,4
P3502,4
P2234,4
P2680,4
P2264,4
P1392,4
P3156,4
P4486,4
P729,4
P723,4
P20,4
P1817,4
P41,4
P40,4
P2702,4
P84,4
P92,4
P2750,4
P2737,4
P2558,4
P3875,4
P2540,4
P3445,4
P2596,4
P3440,4
P2578,4
P3479,4
P2179,4
P828,4
P5260,4
P6111,4
P3097,4
P425,4
P3919,4
P447,4
P457,4
P4806,4
P2623,4
P1766,4
P3761,4
P1573,4
P2897,4
P2441,4
P4211,4
P5152,4
P4293,4
P931,4
P5164,4
P960,4
P5144,4
P1607,4
P102,4
P3838,4
P1659,4
P149,4
P2789,4
P4965,4
P4956,4
P172,4
P1439,4
P1430,4
P3675,4
P2342,4
P4517,4
P1051,4
P2373,4
P3216,4
P5874,4
P3275,4
P1072,4
P1902,4
P1900,4
P6361,4
P642,4
P649,4
P6351,4
P5026,4
P2814,4
P5072,4
P2850,4
P1339,5
P2664,5
P4411,5
P4894,5
P5311,5
P6269,5
P4077,5
P5382,5
P94,5
P6291,5
P1208,5
P1264,5
P4769,5
P1245,5
P2142,5
P2137,5
P1282,5
P6123,5
P5232,5
P6110,5
P467,5
P3964,5
P1773,5
P6180,5
P4619,5
P3762,5
P5981,5
P5508,5
P3306,5
P2078,5
P5171,5
P5181,5
P4265,5
P547,5
P575,5
P2970,5
P158,5
P1027,5
P1474,5
P5002,5
P5495,5
P5019,5
P1961,5
P3721,5
P1542,5
P5711,6
P3987,6
P1319,6
P3597,6
P30,6
P1809,6
P797,6
P1683,6
P3429,6
P1234,6
P2125,6
P2187,6
P5290,6
P837,6
P886,6
P1741,6
P415,6
P1754,6
P3764,6
P3744,6
P3320,6
P4210,6
P1164,6
P1150,6
P5153,6
P5161,6
P2900,6
P5126,6
P998,6
P5149,6
P3642,6
P167,6
P5860,6
P3206,6
